C001,[RuHexpl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][NHexpl][Ring1][Branch1_2][C][C][P][Ring1][Branch2_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl],
C002,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring1][Ring1][C][C][N@@Hexpl][Ring2][Ring1][S][C][C][=C][C][C][=C][N][Ring2][Ring2][Branch1_3][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C003,[RuHexpl][Branch2_1][Ring2][=C][P][Branch2_1][Ring1][=C][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_2][Ring1][Branch1_2][C][P][Ring1][O][Branch1_1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][Branch1_1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C004,[RuHexpl][Branch1_1][C][Cl][Branch2_1][Ring2][=C][P][Branch2_1][Ring1][Branch2_1][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_3][Ring1][Branch1_2][C][Nexpl][Ring1][N][Branch1_1][Ring1][C][C][C][C][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Cexpl][Oexpl],
C005,[RuHexpl][Branch2_1][Ring2][P][P][Branch2_1][Ring1][O][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_2][Ring1][Branch1_2][C][NHexpl][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C006,[RuHexpl][Branch2_1][Ring2][S][P][Branch2_1][Ring1][Branch2_3][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_2][Ring1][Branch1_2][C][NHexpl][Ring1][O][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C007,[RuHexpl][Branch1_1][C][Br][Branch2_1][Branch1_1][Branch2_1][Nexpl][Branch1_1][Ring1][C][C][Branch1_1][Ring1][C][C][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][=C][Ring1][Branch1_2][C][N][C][=C][N][Branch1_1][Branch1_3][C@@Hexpl][Ring2][Ring1][Ring2][Ring1][Branch1_1][C][=C][Branch1_1][N][C][=C][C][=C][Ring1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][Cexpl][Oexpl],
C008,[RuHexpl][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring2][S][P][Branch2_1][Ring1][Branch2_3][C][C][N][Ring2][Ring1][Branch2_1][C@Hexpl][C][=C][Branch1_1][Branch2_3][C][C][=C][N][Ring2][Ring1][#C][Ring1][Branch1_2][C][C][C][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl],
C009,[RuHexpl][Branch2_1][Ring2][=C][P][Branch2_1][Ring1][Branch2_1][C][C][N@@Hexpl][Ring1][Branch1_1][C@Hexpl][C][=C][Branch1_1][Branch2_2][C][C][=C][N][Ring1][N][Ring1][Branch1_2][C][C][C][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl].[BH4expl],
C010,[Ruexpl][Branch2_1][Branch1_1][S][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring2][Branch2_3][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][#C][Ring1][Branch1_2][C][N@@Hexpl][Ring1][P][C][C][P][Ring2][Ring1][Ring2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][C][Cl][Cl],
C011,[Ruexpl][Branch2_1][Branch1_1][Ring2][P][Branch2_1][Ring1][=C][C][C][N@@Hexpl][Ring1][Branch1_1][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][N][Ring1][Branch1_2][C][=C][C][C][=C][N][Ring2][Ring1][C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][C][Cl][Cl],
C012,[Ruexpl][Branch2_1][Branch1_1][S][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][Branch2_1][Ring1][#C][C][N@Hexpl][Ring2][Ring1][C][C][C][=C][C][C][=C][Branch1_1][Branch1_3][N][Ring2][Ring1][Branch2_2][Ring1][Branch1_2][C][=C][C][C][=C][N][Ring2][Ring1][#C][Ring1][Branch1_2][C][=C][C][=C][Ring2][Ring1][Branch1_1][Branch1_1][C][Cl][Cl],
C013,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Ring1][O][P][Branch1_1][Branch1_2][C][C][NH2expl][Ring1][Branch1_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch1_3][C][C][NH2expl][Ring2][Ring1][Branch1_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C014,[C][C][S@@expl][Branch1_1][Ring1][C][C][Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch1_1][O][N@@Hexpl][Ring1][Branch2_2][C][C][S@@expl][Ring1][Branch1_3][C][C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C015,[C][C][S@@expl][Branch1_1][Ring1][C][C][RuHexpl][Branch1_1][C][Cl][Branch1_1][O][N@@Hexpl][Ring1][Branch2_1][C][C][S@@expl][Ring1][Branch1_2][C][C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C016,[C][C][S@@expl][Branch1_1][Ring1][C][C][Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][N@@Hexpl][Ring1][Branch2_2][C][C][S@@expl][Ring1][Branch1_3][C][C].[C][Branch1_2][Branch2_1][=C][C][=C][C][=C][Ring1][Branch1_2][Asexpl][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C017,[C][C][S@expl][Branch1_1][Ring1][C][C][RuHexpl][Branch1_1][C][Cl][Branch1_1][O][N@@Hexpl][Ring1][Branch2_1][C][C][S@expl][Ring1][Branch1_2][C][C][Cexpl][Oexpl],
C018,[RuHexpl][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][C][Cl][Branch1_1][Ring1][Cexpl][Oexpl][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C019,[C][=C][N][RuHexpl][Branch2_1][Ring1][C][N][C][Branch1_2][Branch1_3][=C][C][C][=C][Ring1][Branch1_2][C][Ring1][Branch2_2][=C][C][Ring1][=N][Branch2_1][Ring1][N][C@@Hexpl][N][Branch1_1][Ring2][C][Ring1][#C][C][=C][N][Ring1][Branch1_2][C][=C][Branch1_1][O][C][=C][Branch1_1][Branch1_2][C][=C][Ring1][Branch1_2][C][C][C][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl].[Clexpl],
C020_bis,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@Hexpl][N][Branch1_1][O][C][=C][N][Ring1][Branch1_1][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C],
C020_new,[Ru@expl][Branch1_1][C][Cl][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_2][C][C][P][Ring1][Branch2_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2].[Cl][Ru@@expl][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_1][C][C][P][Ring1][Branch2_1][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C020,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@Hexpl][N][Branch1_1][O][C][=C][N][Ring1][Branch1_1][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C],
C021,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@Hexpl][N][Branch1_1][Branch1_3][C][=C][N][Ring1][Branch1_1][C][C],
C022,[C][C][=C][C][=C][O][C][C][Branch2_1][Ring2][Branch2_2][N][Ring1][Branch1_1][RuHexpl][Branch2_1][Ring1][=N][N][Ring1][Branch2_1][C][Expl=Ring1][N][N][P][Ring1][Branch1_1][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl][Branch1_1][C][C][C],
C023,[C][=C][N][RuHexpl][Branch2_1][Ring1][C][Nexpl][Branch1_1][Branch2_2][C][C][Ring1][Branch1_1][=C][C][Ring1][Branch2_2][Branch1_1][Ring1][C][C][C][C][Branch2_1][Ring1][Branch2_2][P][Branch1_1][Ring2][N][Ring1][=C][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C024,[C][C][=C][C][=C][O][C][C][N][Ring1][Branch1_1][RuHexpl][Branch2_1][Ring1][=N][N][Ring1][Branch2_1][C][Expl=Ring1][N][N][P][Ring1][Branch1_1][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C025,[C][=C][N][RuHexpl][Branch2_1][Ring1][C][N][C][Branch1_2][Branch1_3][=C][C][C][=C][Ring1][Branch1_2][C][Ring1][Branch2_2][=C][C][Ring1][=N][Branch2_1][Ring1][Branch2_2][P][Branch1_1][Ring2][N][Ring1][=C][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C026,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@Hexpl][N][Branch1_1][=C][C][=C][N][Ring1][Branch1_1][C][C][C][C][C][C][Ring1][Branch1_2][C][C][C][C][C][C][Ring1][Branch1_2],
C027_bis,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@@Hexpl][N][Branch1_1][=C][C][=C][N][Ring1][Branch1_1][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C],
C027,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][N][Branch1_1][=C][C][=C][N][Ring1][Branch1_1][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C],
C028,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@Hexpl][N][Branch2_1][Ring1][Branch1_1][C][=C][N][Ring1][Branch1_1][C][=C][Branch1_1][O][C][=C][Branch1_1][Branch1_2][C][=C][Ring1][Branch1_2][C][C][C][C][=C][Branch1_1][O][C][=C][Branch1_1][Branch1_2][C][=C][Ring1][Branch1_2][C][C][C],
C029_bis,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][NHexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][N][Branch1_1][O][C][C][N][Ring1][Branch1_1][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C],
C029,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][NHexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][N][Branch1_1][O][C][C][N][Ring1][Branch1_1][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C],
C030,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C@@Hexpl][N][Branch1_1][=N][C][Branch1_2][Branch2_2][=C][Branch1_1][Branch1_1][N][Ring1][Branch1_1][C][C][C][C],
C031,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][NHexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][N][Branch1_1][#C][C][=C][Branch1_1][Branch1_1][N][Ring1][Branch1_1][C][C][=C][C][=C][Ring1][Branch2_1][C],
C032,[C][=C][N][RuHexpl][Branch2_1][Ring1][S][C][=C][Branch1_1][P][N][Branch1_1][=N][Nexpl][N][Ring1][Branch1_1][C][C][Ring1][Branch2_2][=C][C][Ring1][=N][C][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][C][Branch2_1][Ring1][N][C][=C][Branch1_1][=N][N][Branch1_1][Branch2_2][Nexpl][N][Ring1][Branch1_1][C][Ring2][Ring1][Branch2_3][C][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][C][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl].[F][Bexpl][Branch1_1][C][F][Branch1_1][C][F][F],
C033,[C][=C][N][RuHexpl][Branch2_1][Ring1][S][C][=C][Branch1_1][P][N][Branch1_1][=N][Nexpl][N][Ring1][Branch1_1][C][C][Ring1][Branch2_2][=C][C][Ring1][=N][C][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][C][Branch2_1][Ring1][O][N][N][Branch1_1][Branch1_1][C][Ring2][Ring1][Branch1_3][C][=C][Branch1_1][Ring2][Nexpl][Ring1][Branch1_2][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][C][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl].[F][Bexpl][Branch1_1][C][F][Branch1_1][C][F][F],
C034,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Branch2_3][Branch1_1][P][Branch2_1][Branch1_2][Branch1_2][C][C][N@@Hexpl][Ring1][Branch1_3][C][C][P][Ring1][Branch2_3][Branch2_1][Ring1][=N][C][=C][C][Branch1_2][S][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][F][Branch1_1][C][F][F][C][Branch1_1][C][F][Branch1_1][C][F][F][C][=C][C][Branch1_2][S][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][F][Branch1_1][C][F][F][C][Branch1_1][C][F][Branch1_1][C][F][F][Branch2_1][Ring1][=N][C][=C][C][Branch1_2][S][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][F][Branch1_1][C][F][F][C][Branch1_1][C][F][Branch1_1][C][F][F][C][=C][C][Branch1_2][S][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][F][Branch1_1][C][F][F][C][Branch1_1][C][F][Branch1_1][C][F][F][C@Hexpl][N][Branch1_1][Branch1_3][C][=C][N][Ring1][Branch1_1][C][C],
