0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,1,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,5,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,10,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,15,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,20,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,25,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,30,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,35,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,40,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,45,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,50,95
0.970,14.2,18.8,14.5,8.2,15.4,704.183,1304.517,269.518,363.379,2.97,1.94,5.45,10,1,17,29.4,1,50,23,32.7,19,55,95